high,low,last,instrument_name,bid_price,ask_price,open_interest,mark_price,creation_timestamp,price_change,interest_rate,volume,mark_iv,underlying_price,underlying_index,estimated_delivery_price,base_currency,quote_currency,volume_usd,mid_price,expiry,strike,option_type,T,implied_r
,,0.197,ETH-30JAN26-3300-P,0.248,0.26,2565.0,0.254168,1763777713875,,0.0,0.0,73.99,2775.542307692308,SYN.ETH-30JAN26,2758.38,ETH,ETH,0.0,0.254,2026-01-30,3300.0,P,0.188911704312115,-0.006928183310514765
,,,ETH-25SEP26-16000-P,4.3865,4.9325,0.0,4.6387,1763777713875,,0.0,0.0,87.36,2842.28,ETH-25SEP26,2758.38,ETH,ETH,0.0,4.6595,2026-09-25,16000.0,P,0.840520191649555,0.00010355961614998939
,,1.0025,ETH-28NOV25-6000-P,,,58.0,1.173923,1763777713875,,0.0,0.0,179.36,2759.8,ETH-28NOV25,2758.38,ETH,ETH,0.0,,2025-11-28,6000.0,P,0.01642710472279261,0.009300047953410237
0.002,0.002,0.002,ETH-30JAN26-7500-C,0.0017,0.0023,1119.0,0.00194,1763777713875,0.0,0.0,500.0,95.86,2775.542307692308,SYN.ETH-30JAN26,2758.38,ETH,ETH,2740.71,0.002,2026-01-30,7500.0,C,0.188911704312115,-0.08310933708914273
,,0.183,ETH-5DEC25-3700-P,0.2825,0.414,4.0,0.342723,1763777713875,,0.0,0.0,86.53,2761.53,ETH-5DEC25,2758.38,ETH,ETH,0.0,0.34825,2025-12-05,3700.0,P,0.03559206023271732,-0.01157381436249968
,,0.235,ETH-30JAN26-3700-P,0.366,0.3775,938.0,0.371739,1763777713875,,0.0,0.0,74.7,2775.542307692308,SYN.ETH-30JAN26,2758.38,ETH,ETH,0.0,0.37175,2026-01-30,3700.0,P,0.188911704312115,-0.004461061964208905
,,,ETH-27MAR26-7000-P,1.403,1.6585,0.0,1.518529,1763777713875,,0.0,0.0,84.71,2789.74,ETH-27MAR26,2758.38,ETH,ETH,0.0,1.53075,2026-03-27,7000.0,P,0.34223134839151265,0.0002865439207526063
0.0013,0.0005,0.0009,ETH-26DEC25-1000-P,0.0003,0.0007,12067.0,0.000482,1763777713875,80.0,0.0,3174.0,132.88,2766.06,ETH-26DEC25,2758.38,ETH,ETH,6158.46,0.0005,2025-12-26,1000.0,P,0.09308692676249145,-0.3576738538235986
0.0979,0.085,0.091,ETH-27MAR26-3500-C,0.0905,0.0925,2955.0,0.091286,1763777713875,-6.6667,0.0,49.0,73.9,2789.74,ETH-27MAR26,2758.38,ETH,ETH,12450.22,0.0915,2026-03-27,3500.0,C,0.34223134839151265,-0.007745223110644629
,,,ETH-26JUN26-9000-P,2.0665,2.398,0.0,2.215394,1763777713875,,0.0,0.0,83.57,2812.56,ETH-26JUN26,2758.38,ETH,ETH,0.0,2.23225,2026-06-26,9000.0,P,0.5913757700205339,-5.5691111031072634e-05
0.031,0.006,0.0065,ETH-23NOV25-2650-P,0.0037,0.0042,1306.0,0.003943,1763777713875,-35.0,0.0,1564.0,73.66,2759.0383091049594,SYN.ETH-23NOV25,2758.38,ETH,ETH,76074.49,0.00395,2025-11-23,2650.0,P,0.0027378507871321013,
0.0008,0.0001,0.0001,ETH-23NOV25-3200-C,,0.0001,409.0,5e-05,1763777713875,-87.5,0.0,74.0,92.13,2759.0383091049594,SYN.ETH-23NOV25,2758.38,ETH,ETH,96.7,,2025-11-23,3200.0,C,0.0027378507871321013,
0.1,0.079,0.0795,ETH-26DEC25-2700-P,0.08,0.082,258.0,0.081104,1763777713875,-13.1148,0.0,326.0,76.91,2766.24,ETH-26DEC25,2758.38,ETH,ETH,81173.41,0.081,2025-12-26,2700.0,P,0.09308692676249145,-0.0407081823522928
,,0.0505,ETH-25SEP26-7500-C,0.0445,0.047,302.0,0.045735,1763777713875,,0.0,0.0,78.38,2842.28,ETH-25SEP26,2758.38,ETH,ETH,0.0,0.04575,2026-09-25,7500.0,C,0.840520191649555,-0.003345079607085878
,,,ETH-25SEP26-6800-P,1.318,1.6185,0.0,1.447857,1763777713875,,0.0,0.0,77.36,2842.1,ETH-25SEP26,2758.38,ETH,ETH,0.0,1.46825,2026-09-25,6800.0,P,0.840520191649555,0.0001459668939523812
